,reaction_name,non_iron,iron_inclusive,ratio
0,Alpha-Beta Unsaturated Acid Decarboxylation,5.0,17,3.4
1,Beta-gamma Unsaturated Acid Decarboxylation,12.0,54,4.5
2,"Hemiacetal Formation for 7 membered rings, inverse",52.0,75,1.4423076923076923
3,Fe3 Complex Beta elimination from a sugar and Conversion to Acid,0.0,130,0.0
4,Fe2 ---> Fe3 Conversion of Alpha Keto Group of an ACID to Alpha Hydro group,0.0,183,0.0
5,Alpha-Keto Acid Decarboxylation,78.0,187,2.3974358974358974
6,Fe2 ---> Fe3 Alpha Keto Reduction of a Carboxylic Acid (Fe2+ to Fe3+),0.0,187,0.0
7,"Ring Closure 7 membered O, O",82.0,190,2.317073170731707
8,"Hemiacetal Formation for 6 membered rings, inverse",135.0,211,1.5629629629629629
9,Beta Decarboxylation,106.0,222,2.0943396226415096
10,Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group,0.0,251,0.0
11,Fe3 ---> Fe2 Aldehyde to acid,0.0,412,0.0
12,Cannizarro 1,242.0,417,1.7231404958677685
13,"Michael Addition 0,2, (reverse)",221.0,520,2.3529411764705883
14,"Ring Closure 6 membered O, O",227.0,527,2.3215859030837005
15,Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group,0.0,566,0.0
16,"Hemiacetal Formation for 5 membered rings, inverse",348.0,586,1.6839080459770115
17,Benzilic Acid Rearrangement,326.0,592,1.8159509202453987
18,"Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse",0.0,636,0.0
19,Benzilic Acid Rearrangement (inverse),365.0,670,1.8356164383561644
20,Hydration of C=C(O),522.0,753,1.4425287356321839
21,Hemiacetal Formation for 7 membered rings,599.0,896,1.4958263772954925
22,"Ring Closure 5 membered O, O",398.0,946,2.3768844221105527
23,Hemiacetal Formation for 6 membered rings,1500.0,2320,1.5466666666666666
24,Hydration of C(=O)C,1731.0,2359,1.362796071634893
25,Knoevenagel C (inverse),1623.0,2384,1.4688847812692545
26,"Cannizarro 2, HCHO (reduction)",1691.0,2545,1.5050266114725015
27,Keto-enol migration twice,1884.0,2936,1.5583864118895967
28,Knoevenagel H (inv),1830.0,3189,1.7426229508196722
29,Hemiacetal Formation for 5 membered rings,2482.0,4082,1.64464141821112
30,"Cannizarro 2, HCHO (oxidation)",2731.0,4326,1.5840351519589895
31,"Michael Addition 0,2, ",4327.0,5508,1.272937370002311
32,Elimination2,3966.0,5758,1.4518406454866364
33,Retro Aldol,3756.0,5849,1.557241746538871
34,Elimination + enol to keto,3825.0,5926,1.549281045751634
35,Knoevenagel C,5228.0,6484,1.2402448355011477
36,Knoevenagel H,5494.0,7576,1.3789588642155077
37,Aldol Condensation,8739.0,10579,1.2105504062249686
